Word,Count
Chett,18
Lark,6
Small,5
Paul,11
hunting,4
dogs,5
refuse,5
track,3
bear,9
whose,5
paw,1
print,1
discovered1,1
discussion,3
turns,22
planned,3
desertion,2
plan,11
kill,39
Commander,40
Mormont,25
Blane,4
Grubbs,1
Aethan,1
watch,15
Dywen,10
Bannen,7
best,13
trackers,1
Sam,84
controls,2
ravens,9
striking,1
days,33
past,17
Thoren's,1
patrol,1
consisting,2
Kedge,3
Whiteye,1
Goady,1
Tumberjon,1
returned,18
word,8
wildlings,31
moving,3
Milkwater,1
twenty,5
thirty,4
thousand,20
Harma,6
Dogshead,2
van,5
five,15
hundred,32
horse,26
Sweet,3
Donnel,15
Hill,3
Mallador's,1
squire,23
told,21
Thoren,4
attack,15
burdened,1
women,14
children,15
expecting,1
resistance,1
Mallador,3
agrees,15
trying,18
convince,4
Ottyn,4
counsels,1
retreat,3
waiting,12
Jarmen's,2
Qhorin's,3
patrols,6
return,24
making,12
decision,6
overdue,1
fourteen,2
conspiracy,2
including,54
Dirk,8
Clubfoot,2
Karl,6
Softfoot,4
Ollo,6
Lophand,2
scatter,2
cousins,2
care,7
horses,12
figures,4
given,4
command,18
bid,1
hasty,1
Wall,58
without,13
stopping,2
hunt,1
deserters,3
plans,11
home,10
stupid,1
know,14
deserter,2
means,25
Tyrosh,4
considered,1
leech,1
collector,1
father,18
Hag's,4
Mire,4
trade,5
practice,2
either,9
maybe,1
Craster,13
man's,5
keep,21
likes,4
idea,17
Craster's,8
wives,6
known,9
whores,6
Mole's,7
Town,7
In,8
boils,1
frightened,1
girls,6
away,41
even,27
slut,2
named,26
Bessa,1
lain,1
boys,7
spent,3
picking,4
wildflowers,1
refused,7
laughed,1
caught,8
near,6
Sevenstreams,4
Walder,38
Frey's,3
bastards,2
judged,1
guilty,3
sent,33
group,26
returns,24
Fist,9
stops,8
archery,2
foot,8
hill,6
bitter,3
hatred,2
taking,16
place,24
Aemon,30
Sam's,2
arrow,15
misses,3
completely,5
Dolorous,3
Edd,17
Grenn,24
cheer,2
second,11
wide,3
After,42
third,9
hits,4
beaming,1
tries,26
cutting,3
remark,1
gets,24
better,13
reporting,3
makes,13
circuit,1
camp,15
listening,1
say,15
dinner,13
Hake,3
expresses,3
worry,3
hear,11
animals,1
around,34
joins,7
includes,1
four,18
conspirators,1
Both,1
seem,4
ease,1
Sawwood,1
Maslyn,2
showing,3
signs,2
nervousness,1
call,16
