name,screentime,episode
Tyrion Lannister,383,Episode - 1
Tyrion Lannister,566,Episode - 2
Tyrion Lannister,635,Episode - 3
Tyrion Lannister,374,Episode - 4
Tyrion Lannister,428,Episode - 5
Tyrion Lannister,787,Episode - 6
Tyrion Lannister,0,Episode - 7
Tyrion Lannister,525,Episode - 8
Tyrion Lannister,927,Episode - 9
Tyrion Lannister,278,Episode - 10
Tyrion Lannister,557,Episode - 11
Tyrion Lannister,653,Episode - 12
Tyrion Lannister,732,Episode - 13
Tyrion Lannister,352,Episode - 14
Tyrion Lannister,474,Episode - 15
Tyrion Lannister,245,Episode - 16
Tyrion Lannister,202,Episode - 17
Tyrion Lannister,827,Episode - 18
Tyrion Lannister,837,Episode - 19
Tyrion Lannister,378,Episode - 20
Tyrion Lannister,559,Episode - 21
Tyrion Lannister,201,Episode - 22
Tyrion Lannister,654,Episode - 23
Tyrion Lannister,245,Episode - 24
Tyrion Lannister,361,Episode - 25
Tyrion Lannister,233,Episode - 26
Tyrion Lannister,216,Episode - 27
Tyrion Lannister,904,Episode - 28
Tyrion Lannister,0,Episode - 29
Tyrion Lannister,773,Episode - 30
Tyrion Lannister,628,Episode - 31
Tyrion Lannister,1433,Episode - 32
Tyrion Lannister,320,Episode - 33
Tyrion Lannister,161,Episode - 34
Tyrion Lannister,0,Episode - 35
Tyrion Lannister,1011,Episode - 36
Tyrion Lannister,750,Episode - 37
Tyrion Lannister,680,Episode - 38
Tyrion Lannister,0,Episode - 39
Tyrion Lannister,497,Episode - 40
Tyrion Lannister,401,Episode - 41
Tyrion Lannister,146,Episode - 42
Tyrion Lannister,412,Episode - 43
Tyrion Lannister,271,Episode - 44
Tyrion Lannister,468,Episode - 45
Tyrion Lannister,471,Episode - 46
Tyrion Lannister,393,Episode - 47
Tyrion Lannister,605,Episode - 48
Tyrion Lannister,944,Episode - 49
Tyrion Lannister,358,Episode - 50
Tyrion Lannister,213,Episode - 51
Tyrion Lannister,371,Episode - 52
Tyrion Lannister,203,Episode - 53
Tyrion Lannister,424,Episode - 54
Tyrion Lannister,343,Episode - 55
Tyrion Lannister,0,Episode - 56
Tyrion Lannister,0,Episode - 57
Tyrion Lannister,436,Episode - 58
Tyrion Lannister,634,Episode - 59
Tyrion Lannister,228,Episode - 60
Tyrion Lannister,334,Episode - 61
Tyrion Lannister,685,Episode - 62
Tyrion Lannister,1308,Episode - 63
Tyrion Lannister,248,Episode - 64
Tyrion Lannister,1015,Episode - 65
Tyrion Lannister,371,Episode - 66
Tyrion Lannister,1888,Episode - 67
Tyrion Lannister,498,Episode - 68
Tyrion Lannister,1303,Episode - 69
Tyrion Lannister,438,Episode - 70
Tyrion Lannister,2376,Episode - 71
Tyrion Lannister,1029,Episode - 72
Tyrion Lannister,2504,Episode - 73
Bran Stark,1083,Episode - 1
Bran Stark,646,Episode - 2
Bran Stark,182,Episode - 3
Bran Stark,206,Episode - 4
Bran Stark,155,Episode - 5
Bran Stark,319,Episode - 6
Bran Stark,0,Episode - 7
Bran Stark,362,Episode - 8
Bran Stark,0,Episode - 9
Bran Stark,162,Episode - 10
Bran Stark,207,Episode - 11
Bran Stark,0,Episode - 12
Bran Stark,185,Episode - 13
Bran Stark,0,Episode - 14
Bran Stark,209,Episode - 15
Bran Stark,469,Episode - 16
Bran Stark,61,Episode - 17
Bran Stark,56,Episode - 18
Bran Stark,0,Episode - 19
Bran Stark,200,Episode - 20
Bran Stark,0,Episode - 21
Bran Stark,427,Episode - 22
Bran Stark,0,Episode - 23
Bran Stark,79,Episode - 24
Bran Stark,0,Episode - 25
Bran Stark,181,Episode - 26
Bran Stark,238,Episode - 27
Bran Stark,0,Episode - 28
Bran Stark,429,Episode - 29
Bran Stark,414,Episode - 30
Bran Stark,0,Episode - 31
Bran Stark,181,Episode - 32
Bran Stark,0,Episode - 33
Bran Stark,276,Episode - 34
Bran Stark,457,Episode - 35
Bran Stark,0,Episode - 36
Bran Stark,0,Episode - 37
Bran Stark,0,Episode - 38
Bran Stark,0,Episode - 39
Bran Stark,513,Episode - 40
Bran Stark,0,Episode - 41
Bran Stark,0,Episode - 42
Bran Stark,0,Episode - 43
Bran Stark,0,Episode - 44
Bran Stark,0,Episode - 45
Bran Stark,0,Episode - 46
Bran Stark,0,Episode - 47
Bran Stark,0,Episode - 48
Bran Stark,0,Episode - 49
Bran Stark,0,Episode - 50
Bran Stark,0,Episode - 51
Bran Stark,292,Episode - 52
Bran Stark,393,Episode - 53
Bran Stark,0,Episode - 54
Bran Stark,761,Episode - 55
Bran Stark,375,Episode - 56
Bran Stark,0,Episode - 57
Bran Stark,0,Episode - 58
Bran Stark,0,Episode - 59
Bran Stark,286,Episode - 60
Bran Stark,89,Episode - 61
Bran Stark,0,Episode - 62
Bran Stark,154,Episode - 63
Bran Stark,416,Episode - 64
Bran Stark,24,Episode - 65
Bran Stark,0,Episode - 66
Bran Stark,563,Episode - 67
Bran Stark,328,Episode - 68
Bran Stark,612,Episode - 69
Bran Stark,546,Episode - 70
Bran Stark,781,Episode - 71
Bran Stark,0,Episode - 72
Bran Stark,1029,Episode - 73
Robb Stark,859,Episode - 1
Robb Stark,346,Episode - 2
Robb Stark,182,Episode - 3
Robb Stark,103,Episode - 4
Robb Stark,0,Episode - 5
Robb Stark,273,Episode - 6
Robb Stark,0,Episode - 7
Robb Stark,651,Episode - 8
Robb Stark,363,Episode - 9
