"Character","Minutes"
"Jon Snow","338"
"Tyrion Lannister","337"
"Daenerys Targaryen","276"
"Sansa Stark","239"
"Cersei Lannister","236"
"Arya Stark","224"
"Jaime Lannister","199"
"Samwell Tarly","144"
"Jorah Mormont","143"
"Theon Greyjoy","136"
"Petyr Baelish*","119"
"Davos Seaworth","110"
"Ned Stark*","100"
"Bran Stark","99"
"Brienne of Tarth","98"
"Sandor Clegane","95"
"Varys","94"
"Catelyn Stark*","83"
"Tywin Lannister*","78"
"Margaery Tyrell*","78"
"Robb Stark*","77"
"Bronn","75"
"Stannis Baratheon*","73"
"Joffrey Baratheon*","70"
"Melisandre","69"
"Ramsay Bolton*","66"
"Missandei","62"
"Gilly","55"
"Tormund","55"
"Ygritte*","51"
"Shae*","47"
"Daario Naharis","46"
"Podrick Payne","45"
"Olenna Tyrell*","44"
"Tommen Baratheon*","43"
"Grey Worm","43"
"Gendry","39"
"High Sparrow*","38"
"Barristan Selmy*","37"
"Grand Maester Pycelle*","35"
"Yara Greyjoy","32"
"Loras Tyrell*","32"
"Talisa*","31"
"Robert Baratheon*","31"
"Roose Bolton*","30"
"Osha*","30"
"Hodor*","30"
"Eddison Tollett","29"
"Meera Reed","29"
"Oberyn Martell*","29"
"Jaqen H'ghar","27"
"Thoros of Myr*","26"
"Alliser Thorne*","26"
"Khal Drogo*","25"
"Beric Dondarrion","25"
"Qyburn","25"
"Ellaria Sand","24"
"Gregor Clegane","24"
"Renly Baratheon*","24"
"Maester Luwin*","24"
"Ros*","22"
"Grenn*","21"
"Mance Rayder*","21"
"Jeor Mormont*","21"
"Viserys Targaryen*","21"
"Maester Aemon*","19"
"Jojen Reed*","19"
"Lancel Lannister*","19"
"Shireen Baratheon*","18"
"Edmure Tully","18"
"Euron Greyjoy","17"
"Lysa Arryn*","17"
"Meryn Trant*","16"
"Brynden Tully*","16"
"Walder Frey*","16"
"Hot Pie","15"
"Janos Slynt","14"
"Locke*","13"
"Myranda*","13"
"Rodrik Cassel*","13"
"The Waif*","13"
"Benjen Stark*","13"
"Rast*","13"
"Rickon Stark*","13"
"Septa Unella","13"
"Olly*","13"
"Doreah*","13"
"Balon Greyjoy*","12"
"Pypar*","12"
"Yoren*","12"
"Myrcella Baratheon*","12"
"Hizdahr zo Loraq*","12"
"Tyene Sand*","12"
"Mace Tyrell*","12"
"Robin Arryn","11"
"Selyse Baratheon*","11"
"Karl Tanner*","11"
"Xaro Xhoan Daxos*","11"
"Irri*","10"
"Lady Crane*","10"
"Kevan Lannister*","10"
"Randyll Tarly*","10"
"Qhorin Halfhand*","10"
"Orell*","9"
"Archmaester Ebrose","9"
"Rakharo*","9"
"Olyvar","8"
"Alton Lannister*","8"
"The Night King","8"
"Three-Eyed Raven*","8"
"Yohn Royce","8"
"Yezzan zo Qaggaz","8"
"Nymeria Sand*","8"
"Obara Sand*","8"
"Doran Martell*","8"
"Mirri Maz Duur*","8"
"Wun Wun*","8"
"Syrio Forel","7"
"Razdal mo Eraz*","7"
"Tycho Nestoris","7"
"Craster*","7"
"Brother Ray*","7"
"Matthos Seaworth*","7"
"Salladhor Saan","6"
"Jory Cassel*","6"
"Othell Yarwyck*","6"
"Will*","6"
"Septa Mordane*","6"
"Polliver*","6"
"Kraznys mo Nakloz*","6"
"Spice King*","6"
"Styr*","6"
"Lyanna Mormont","5"
"Dagmer Cleftjaw*","5"
"Khal Moro*","5"
"Rickard Karstark*","5"
"Rattleshirt*","5"
"Qotho*","5"
"Armeca","5"
