link,name,screentime,episode
1,Tyrion Lannister,383,Episode - 1
1,Tyrion Lannister,566,Episode - 2
1,Tyrion Lannister,635,Episode - 3
1,Tyrion Lannister,374,Episode - 4
1,Tyrion Lannister,428,Episode - 5
1,Tyrion Lannister,787,Episode - 6
1,Tyrion Lannister,0,Episode - 7
1,Tyrion Lannister,525,Episode - 8
1,Tyrion Lannister,927,Episode - 9
1,Tyrion Lannister,278,Episode - 10
1,Tyrion Lannister,557,Episode - 11
1,Tyrion Lannister,653,Episode - 12
1,Tyrion Lannister,732,Episode - 13
1,Tyrion Lannister,352,Episode - 14
1,Tyrion Lannister,474,Episode - 15
1,Tyrion Lannister,245,Episode - 16
1,Tyrion Lannister,202,Episode - 17
1,Tyrion Lannister,827,Episode - 18
1,Tyrion Lannister,837,Episode - 19
1,Tyrion Lannister,378,Episode - 20
1,Tyrion Lannister,559,Episode - 21
1,Tyrion Lannister,201,Episode - 22
1,Tyrion Lannister,654,Episode - 23
1,Tyrion Lannister,245,Episode - 24
1,Tyrion Lannister,361,Episode - 25
1,Tyrion Lannister,233,Episode - 26
1,Tyrion Lannister,216,Episode - 27
1,Tyrion Lannister,904,Episode - 28
1,Tyrion Lannister,0,Episode - 29
1,Tyrion Lannister,773,Episode - 30
1,Tyrion Lannister,628,Episode - 31
1,Tyrion Lannister,1433,Episode - 32
1,Tyrion Lannister,320,Episode - 33
1,Tyrion Lannister,161,Episode - 34
1,Tyrion Lannister,0,Episode - 35
1,Tyrion Lannister,1011,Episode - 36
1,Tyrion Lannister,750,Episode - 37
1,Tyrion Lannister,680,Episode - 38
1,Tyrion Lannister,0,Episode - 39
1,Tyrion Lannister,497,Episode - 40
1,Tyrion Lannister,401,Episode - 41
1,Tyrion Lannister,146,Episode - 42
1,Tyrion Lannister,412,Episode - 43
1,Tyrion Lannister,271,Episode - 44
1,Tyrion Lannister,468,Episode - 45
1,Tyrion Lannister,471,Episode - 46
1,Tyrion Lannister,393,Episode - 47
1,Tyrion Lannister,605,Episode - 48
1,Tyrion Lannister,944,Episode - 49
1,Tyrion Lannister,358,Episode - 50
1,Tyrion Lannister,213,Episode - 51
1,Tyrion Lannister,371,Episode - 52
1,Tyrion Lannister,203,Episode - 53
1,Tyrion Lannister,424,Episode - 54
1,Tyrion Lannister,343,Episode - 55
1,Tyrion Lannister,0,Episode - 56
1,Tyrion Lannister,0,Episode - 57
1,Tyrion Lannister,436,Episode - 58
1,Tyrion Lannister,634,Episode - 59
1,Tyrion Lannister,228,Episode - 60
1,Tyrion Lannister,334,Episode - 61
1,Tyrion Lannister,685,Episode - 62
1,Tyrion Lannister,1308,Episode - 63
1,Tyrion Lannister,248,Episode - 64
1,Tyrion Lannister,1015,Episode - 65
1,Tyrion Lannister,371,Episode - 66
1,Tyrion Lannister,1888,Episode - 67
1,Tyrion Lannister,498,Episode - 68
1,Tyrion Lannister,1303,Episode - 69
1,Tyrion Lannister,438,Episode - 70
1,Tyrion Lannister,2376,Episode - 71
1,Tyrion Lannister,1029,Episode - 72
1,Tyrion Lannister,2504,Episode - 73
1,Bran Stark,1083,Episode - 1
1,Bran Stark,646,Episode - 2
1,Bran Stark,182,Episode - 3
1,Bran Stark,206,Episode - 4
1,Bran Stark,155,Episode - 5
1,Bran Stark,319,Episode - 6
1,Bran Stark,0,Episode - 7
1,Bran Stark,362,Episode - 8
1,Bran Stark,0,Episode - 9
1,Bran Stark,162,Episode - 10
1,Bran Stark,207,Episode - 11
1,Bran Stark,0,Episode - 12
1,Bran Stark,185,Episode - 13
1,Bran Stark,0,Episode - 14
1,Bran Stark,209,Episode - 15
1,Bran Stark,469,Episode - 16
1,Bran Stark,61,Episode - 17
1,Bran Stark,56,Episode - 18
1,Bran Stark,0,Episode - 19
1,Bran Stark,200,Episode - 20
1,Bran Stark,0,Episode - 21
1,Bran Stark,427,Episode - 22
1,Bran Stark,0,Episode - 23
1,Bran Stark,79,Episode - 24
1,Bran Stark,0,Episode - 25
1,Bran Stark,181,Episode - 26
1,Bran Stark,238,Episode - 27
1,Bran Stark,0,Episode - 28
1,Bran Stark,429,Episode - 29
1,Bran Stark,414,Episode - 30
1,Bran Stark,0,Episode - 31
